word,category
Abundance,positive
Acceptance,positive
Achievement,positive
Admiration,positive
Adventure,positive
Affection,positive
Affluence,positive
Agility,positive
Altruism,positive
Amazement,positive
Appreciation,positive
Aspiration,positive
Assurance,positive
Astonishment,positive
Authenticity,positive
Balance,positive
Beauty,positive
Belief,positive
Bliss,positive
Bravery,positive
Brilliance,positive
Calmness,positive
Capability,positive
Carefree,positive
Celebration,positive
Certainty,positive
Charity,positive
Cheerfulness,positive
Clarity,positive
Comfort,positive
Compassion,positive
Confidence,positive
Contentment,positive
Cooperation,positive
Courage,positive
Creativity,positive
Curiosity,positive
Dazzling,positive
Delight,positive
Determination,positive
Devotion,positive
Diversity,positive
Dream,positive
Ecstasy,positive
Education,positive
Elegance,positive
Empathy,positive
Empowerment,positive
Enchantment,positive
Endurance,positive
Energy,positive
Enlightenment,positive
Excitement,positive
Exhilaration,positive
Exploration,positive
Expressiveness,positive
Faith,positive
Fascination,positive
Fearlessness,positive
Flexibility,positive
Flourishing,positive
Forgiveness,positive
Freedom,positive
Friendliness,positive
Fulfillment,positive
Generosity,positive
Gentleness,positive
Gladness,positive
Grace,positive
Gratitude,positive
Growth,positive
Happiness,positive
Harmony,positive
Health,positive
Heartfelt,positive
Hope,positive
Humility,positive
Imagination,positive
Inspiration,positive
Integrity,positive
Intuition,positive
Joy,positive
Kindness,positive
Laughter,positive
Learning,positive
Liberation,positive
Light,positive
Love,positive
Loyalty,positive
Magic,positive
Mindfulness,positive
Miracles,positive
Motivation,positive
Nurturing,positive
Openness,positive
Optimism,positive
Passion,positive
Peace,positive
Perseverance,positive
Pleasure,positive
Positivity,positive
Potential,positive
Power,positive
Prosperity,positive
Purpose,positive
Radiance,positive
Reassurance,positive
Rejuvenation,positive
Relaxation,positive
Renewal,positive
Resilience,positive
Respect,positive
Romance,positive
Serenity,positive
Sharing,positive
Simplicity,positive
Sincerity,positive
Softness,positive
Solace,positive
Sparkle,positive
Spirituality,positive
Strength,positive
Success,positive
Sunshine,positive
Support,positive
Surprises,positive
Synergy,positive
Tenderness,positive
Thankfulness,positive
Thriving,positive
Tranquility,positive
Trust,positive
Understanding,positive
Unity,positive
Upliftment,positive
Valor,positive
Victory,positive
Vitality,positive
Warmth,positive
Wealth,positive
Wellness,positive
Wholeness,positive
Wisdom,positive
Wonder,positive
Zeal,positive
Abundant,positive
Accepting,positive
Achieving,positive
Adorable,positive
Affectionate,positive
Agile,positive
Alluring,positive
Amazing,positive
Amiable,positive
Ample,positive
Appreciative,positive
Authentic,positive
Awesome,positive
Beatific,positive
Beloved,positive
Beneficent,positive
Benevolent,positive
Blissful,positive
Bountiful,positive
Brilliant,positive
Buoyant,positive
Calm,positive
Captivating,positive
Caring,positive
Centered,positive
Charismatic,positive
Charming,positive
Cherished,positive
Comfortable,positive
Comical,positive
Compassionate,positive
Confident,positive
Congenial,positive
Content,positive
Cooperative,positive
Courageous,positive
Courteous,positive
Creative,positive
Dazzling,positive
Delicate,positive
Delicious,positive
Desirable,positive
Devoted,positive
Diligent,positive
Dynamic,positive
Eclectic,positive
Effervescent,positive
Effortless,positive
Elated,positive
Eloquent,positive
Energetic,positive
Enlightened,positive
Enthusiastic,positive
Eternal,positive
Exciting,positive
Exquisite,positive
Extraordinary,positive
Exuberant,positive
Fabulous,positive
Fantastic,positive
Fascinating,positive
Fearless,positive
Flourishing,positive
Fortunate,positive
Free,positive
Fun-loving,positive
Generous,positive
Glorious,positive
Graceful,positive
Grateful,positive
Great,positive
Harmonious,positive
Heartwarming,positive
Helpful,positive
Heroic,positive
Honorable,positive
Hopeful,positive
Humorous,positive
Illuminating,positive
Imaginative,positive
Impressive,positive
Inclusive,positive
Incredible,positive
Inspiring,positive
Integral,positive
Intelligent,positive
Intuitive,positive
Invigorated,positive
Invincible,positive
Joyful,positive
Jubilant,positive
Keen,positive
Kind-hearted,positive
Loving,positive
Lucid,positive
Lucky,positive
Luminous,positive
Marvelous,positive
Miraculous,positive
Motivated,positive
Natural,positive
Nurturing,positive
Open-hearted,positive
Optimistic,positive
Outstanding,positive
Passionate,positive
Patient,positive
Peaceful,positive
Perceptive,positive
Playful,positive
Pleasing,positive
Plentiful,positive
Positive,positive
Precious,positive
Profound,positive
Proud,positive
Purposeful,positive
Radiant,positive
Receptive,positive
Refreshing,positive
Resilient,positive
Resourceful,positive
Rewarding,positive
Serene,positive
Skilled,positive
Spirited,positive
Splendid,positive
Strong,positive
Successful,positive
Supportive,positive
Sustained,positive
Thriving,positive
Tranquil,positive
Trusting,positive
Unconditional,positive
Unique,positive
Valuable,positive
Vibrant,positive
Victorious,positive
Visionary,positive
Vital,positive
Warm-hearted,positive
Well-being,positive
Whole,positive
Wise,positive
Wonderful,positive
Youthful,positive
Zestful,positive
Adaptable,positive
Adventurous,positive
Alluring,positive
Amusing,positive
Attractive,positive
Blissfully,positive
Bold,positive
Boundless,positive
Bright,positive
Buoyant,positive
Charismatic,positive
Cheerful,positive
Colorful,positive
Confident,positive
Courageous,positive
Creative,positive
Daring,positive
Dazzling,positive
Delightful,positive
Dynamic,positive
Effervescent,positive
Energetic,positive
Enthusiastic,positive
Exciting,positive
Exhilarating,positive
Expressive,positive
Fabulous,positive
Fantastic,positive
Fearless,positive
Flamboyant,positive
Flawless,positive
Free-spirited,positive
Fun-loving,positive
Generous,positive
Glorious,positive
Graceful,positive
Grateful,positive
Happy,positive
Harmonious,positive
Inspiring,positive
Invigorating,positive
Jubilant,positive
Lively,positive
Loving,positive
Magnetic,positive
Motivating,positive
Passionate,positive
Positive,positive
Radiant,positive
Remarkable,positive
Resilient,positive
Spirited,positive
Splendid,positive
Spontaneous,positive
Strong,positive
Thrilling,positive
Transformative,positive
Uplifting,positive
Vibrant,positive
Victorious,positive
Vivacious,positive
Whimsical,positive
Zealous,positive
Admirable,positive
Alluring,positive
Amicable,positive
Ample,positive
Authentic,positive
Beautiful,positive
Beloved,positive
Breathtaking,positive
Captivating,positive
Celestial,positive
Charming,positive
Cherished,positive
Committed,positive
Compassionate,positive
Confident,positive
Considerate,positive
Courageous,positive
Creative,positive
Dazzling,positive
Devoted,positive
Dynamic,positive
Effervescent,positive
Elegant,positive
Enchanting,positive
Endearing,positive
Energetic,positive
Enlightening,positive
Enthusiastic,positive
Exceptional,positive
Exquisite,positive
Extraordinary,positive
Fascinating,positive
Fearless,positive
Flawless,positive
Fortunate,positive
Generous,positive
Glorious,positive
Graceful,positive
Grateful,positive
Harmonious,positive
Heartfelt,positive
Heavenly,positive
Inspiring,positive
Intuitive,positive
Joyful,positive
Jubilant,positive
Kind-hearted,positive
Loving,positive
Majestic,positive
Miraculous,positive
Noble,positive
Nurturing,positive
Passionate,positive
Peaceful,positive
Radiant,positive
Remarkable,positive
Resplendent,positive
Serene,positive
Sparkling,positive
Splendid,positive
Stunning,positive
Thrilling,positive
Tranquil,positive
Unconditional,positive
Unforgettable,positive
Uplifting,positive
Vibrant,positive
Wholesome,positive
Wondrous,positive
Adorable,positive
Affectionate,positive
Amazing,positive
Amiable,positive
Authentic,positive
Beautiful,positive
Beloved,positive
Blissful,positive
Boundless,positive
Breathtaking,positive
Brilliant,positive
Captivating,positive
Cheerful,positive
Cherished,positive
Compassionate,positive
Confident,positive
Cozy,positive
Delightful,positive
Devoted,positive
Divine,positive
Dreamy,positive
Effulgent,positive
Electrifying,positive
Enchanted,positive
Endearing,positive
Energizing,positive
Enraptured,positive
Exhilarating,positive
Exquisite,positive
Fabulous,positive
Faithful,positive
Fantastic,positive
Flourishing,positive
Glorious,positive
Grateful,positive
Harmonious,positive
Heartwarming,positive
Heavenly,positive
Inspiring,positive
Jubilant,positive
Kind,positive
Loving,positive
Luminous,positive
Magical,positive
Miraculous,positive
Passionate,positive
Peaceful,positive
Radiant,positive
Serene,positive
Stunning,positive
Thrilling,positive
Tranquil,positive
Unconditional,positive
Uplifting,positive
Vibrant,positive
Whimsical,positive
Wonderful,positive
Admired,positive
Amorous,positive
Brilliant,positive
Caring,positive
Charismatic,positive
Cheerful,positive
Compassionate,positive
Courageous,positive
Dazzling,positive
Devoted,positive
Elegant,positive
Enthusiastic,positive
Fascinating,positive
Friendly,positive
Grateful,positive
Harmonious,positive
Heartfelt,positive
Joyful,positive
Abandoned,negative
Abhorrent,negative
Abysmal,negative
Accursed,negative
Agonizing,negative
Alarming,negative
Anguished,negative
Annoying,negative
Appalling,negative
Atrocious,negative
Awful,negative
Baneful,negative
Barbaric,negative
Belligerent,negative
Bitter,negative
Bleak,negative
Bothersome,negative
Brutal,negative
Callous,negative
Catastrophic,negative
Challenging,negative
Chaotic,negative
Clumsy,negative
Complicated,negative
Confused,negative
Contemptible,negative
Corrupt,negative
Crappy,negative
Crazed,negative
Cruel,negative
Cursed,negative
Dastardly,negative
Deplorable,negative
Despicable,negative
Detestable,negative
Difficult,negative
Disastrous,negative
Disconcerting,negative
Disgusting,negative
Disheartening,negative
Dismal,negative
Displeasing,negative
Distressing,negative
Dreadful,negative
Egregious,negative
Eerie,negative
Enraging,negative
Exasperating,negative
Excruciating,negative
Fail,negative
Fanatical,negative
Ferocious,negative
Frightening,negative
Frustrating,negative
Ghastly,negative
Gory,negative
Grave,negative
Grievous,negative
Grim,negative
Gruesome,negative
Harsh,negative
Hateful,negative
Heartbreaking,negative
Horrendous,negative
Horrible,negative
Hostile,negative
Hurtful,negative
Ignominious,negative
Ill-fated,negative
Impractical,negative
Inconsiderate,negative
Ineffectual,negative
Infernal,negative
Infuriating,negative
Injurious,negative
Insidious,negative
Intolerable,negative
Irritating,negative
Loathsome,negative
Lousy,negative
Maddening,negative
Malevolent,negative
Malicious,negative
Mean,negative
Menacing,negative
Miserable,negative
Monstrous,negative
Nasty,negative
Nauseating,negative
Nefarious,negative
Neglected,negative
Nervous,negative
Notorious,negative
Obnoxious,negative
Offensive,negative
Oppressive,negative
Outrageous,negative
Painful,negative
Pernicious,negative
Pestilent,negative
Pitiful,negative
Plagued,negative
Poisonous,negative
Pompous,negative
Predatory,negative
Preposterous,negative
Puzzling,negative
Repugnant,negative
Repulsive,negative
Revolting,negative
Ridiculous,negative
Ruinous,negative
Sadistic,negative
Savage,negative
Scandalous,negative
Scary,negative
Severed,negative
Shameful,negative
Shocking,negative
Sinister,negative
Sordid,negative
Spiteful,negative
Startling,negative
Sterile,negative
Stupefying,negative
Sulky,negative
Suspicious,negative
Tense,negative
Terrible,negative
Threatening,negative
Tragic,negative
Troubling,negative
Tyrannical,negative
Unacceptable,negative
Unbearable,negative
Uncertain,negative
Uncomfortable,negative
Unending,negative
Unfortunate,negative
Unhealthy,negative
Unjust,negative
Unpleasant,negative
Unreasonable,negative
Unsettling,negative
Unstable,negative
Unthinkable,negative
Untrustworthy,negative
Unwelcome,negative
Unwieldy,negative
Upsetting,negative
Vexing,negative
Vile,negative
Villainous,negative
Violent,negative
Vicious,negative
Wicked,negative
Woeful,negative
Worthless,negative
Wretched,negative
Abominable,negative
Abysmal,negative
Affliction,negative
Aggravating,negative
Agony,negative
Apprehensive,negative
Atrocity,negative
Awkward,negative
Baffling,negative
Barbarous,negative
Belittled,negative
Bewildering,negative
Bizarre,negative
Bleak,negative
Blundering,negative
Bothersome,negative
Bumbling,negative
Cataclysmic,negative
Catastrophe,negative
Caustic,negative
Coarse,negative
Cold-hearted,negative
Confounded,negative
Confrontational,negative
Confused,negative
Corrosive,negative
Corrupting,negative
Cursed,negative
Cynical,negative
Damaging,negative
Dark,negative
Dead-end,negative
Deadly,negative
Deceitful,negative
Deceptive,negative
Degenerate,negative
Delirious,negative
Desolate,negative
Destructive,negative
Detestable,negative
Devastating,negative
Dismaying,negative
Disoriented,negative
Displeasing,negative
Disrespectful,negative
Disturbing,negative
Draconian,negative
Dreadful,negative
Dumbfounding,negative
Embarrassing,negative
Enigmatic,negative
Enraged,negative
Erratic,negative
Exaggerated,negative
Excruciating,negative
Exile,negative
FALSE,negative
Fanatical,negative
Farcical,negative
Fearsome,negative
Ferocious,negative
Fierce,negative
Filthy,negative
Foolish,negative
Frightful,negative
Frivolous,negative
Furious,negative
Ghoulish,negative
Gory,negative
Grating,negative
Greedy,negative
Grievous,negative
Gruesome,negative
Harrowing,negative
Harsh,negative
Heartless,negative
Heinous,negative
Hellish,negative
Hideous,negative
Homicidal,negative
Horrid,negative
Horrific,negative
Hostile,negative
Humiliating,negative
Ignominious,negative
Immoral,negative
Impassable,negative
Impenetrable,negative
Imperious,negative
Implausible,negative
Inaccurate,negative
Inadequate,negative
Inane,negative
Incensed,negative
Incomprehensible,negative
Inconsiderate,negative
Inconsistent,negative
Indecipherable,negative
Indefensible,negative
Ineffective,negative
Inept,negative
Infernal,negative
Infuriating,negative
Inhospitable,negative
Inhumane,negative
Iniquitous,negative
Insane,negative
Insidious,negative
Insipid,negative
Insufferable,negative
Intolerable,negative
Intransigent,negative
Intrusive,negative
Irrational,negative
Irredeemable,negative
Irrelevant,negative
Irreparable,negative
Irresponsible,negative
Irreverent,negative
Irrevocable,negative
Jealous,negative
Lamentable,negative
Loathsome,negative
Ludicrous,negative
Maladjusted,negative
Malicious,negative
Malignant,negative
Menacing,negative
Merciless,negative
Misguided,negative
Mournful,negative
Nasty,negative
Nefarious,negative
Nervous,negative
Noxious,negative
Obnoxious,negative
Obscene,negative
Off-putting,negative
Oppressive,negative
Outrageous,negative
Painful,negative
Pathetic,negative
Perfidious,negative
Perilous,negative
Pessimistic,negative
Pestilent,negative
Petty,negative
Phobic,negative
Piteous,negative
Pitiable,negative
Pitiful,negative
Poisonous,negative
Pointless,negative
Pompous,negative
Predatory,negative
Preposterous,negative
Prohibitive,negative
Puzzling,negative
Repellent,negative
Reprehensible,negative
Repugnant,negative
Repulsive,negative
Ridiculous,negative
Rotten,negative
Sadistic,negative
Sardonic,negative
Savage,negative
Scandalous,negative
Scathing,negative
Severe,negative
Shallow,negative
Shameful,negative
Shocking,negative
Sordid,negative
Spiteful,negative
Startling,negative
Stifling,negative
Stupid,negative
Suspicious,negative
Tense,negative
Terrible,negative
Terrifying,negative
Threatening,negative
Tormenting,negative
Torturous,negative
Tragic,negative
Troubling,negative
Tyrannical,negative
Ugly,negative
Unacceptable,negative
Uncertain,negative
Uncomfortable,negative
Uncompromising,negative
Unending,negative
Unfair,negative
Unfaithful,negative
Unfortunate,negative
Unfriendly,negative
Unholy,negative
Unjust,negative
Unpleasant,negative
Unreasonable,negative
Unrelenting,negative
Unscrupulous,negative
Unsightly,negative
Unstable,negative
Unthinkable,negative
Untrustworthy,negative
Unwelcome,negative
Unworthy,negative
Upsetting,negative
Venomous,negative
Vexing,negative
Vile,negative
Villainous,negative
Violent,negative
Vindictive,negative
Vulgar,negative
Wicked,negative
Wretched,negative
Abashed,negative
Abhorred,negative
Abominated,negative
Abysmal,negative
Aggravated,negative
Agitated,negative
Apprehensive,negative
Awful,negative
Baffled,negative
Belligerent,negative
Bewildered,negative
Bitter,negative
Boring,negative
Brutal,negative
Calamitous,negative
Choked,negative
Confused,negative
Contaminated,negative
Contradictory,negative
Crazed,negative
Damaged,negative
Dark,negative
Dazed,negative
Depressed,negative
Desolate,negative
Despised,negative
Devalued,negative
Disagreeable,negative
Disapproved,negative
Disliked,negative
Dismissed,negative
Disturbed,negative
Dull,negative
Embarrassed,negative
Empty,negative
Excluded,negative
Excruciating,negative
Fearful,negative
Foul,negative
Frustrated,negative
Furious,negative
Grief-stricken,negative
Grim,negative
Gross,negative
Guilty,negative
Hapless,negative
Harassed,negative
Harmed,negative
Haunted,negative
Hesitant,negative
Hopeless,negative
Horrifying,negative
Humbled,negative
Hurt,negative
Ignored,negative
Impatient,negative
Inadequate,negative
Incomplete,negative
Injured,negative
Insensitive,negative
Insignificant,negative
Interrupted,negative
Intimidated,negative
Isolated,negative
Jealous,negative
Lamented,negative
Languished,negative
Lost,negative
Mourned,negative
Nervous,negative
Offended,negative
Overwhelmed,negative
Pathetic,negative
Perplexed,negative
Pessimistic,negative
Pained,negative
Rejected,negative
Remorseful,negative
Sad,negative
Scared,negative
Shame,negative
Shocked,negative
Sorrowful,negative
Spurned,negative
Stressed,negative
Suffering,negative
Tense,negative
Threatened,negative
Tormented,negative
Trapped,negative
Troubled,negative
Unappreciated,negative
Uncomfortable,negative
Undesired,negative
Unfortunate,negative
Unhappy,negative
Unimportant,negative
Unloved,negative
Unnoticed,negative
Unpleasant,negative
Unrecognized,negative
Unsettled,negative
Unwelcome,negative
Unwanted,negative
Upset,negative
Useless,negative
Vengeful,negative
Vulnerable,negative
Weak,negative
Weary,negative
Worried,negative
Worthless,negative
Wounded,negative
Wracked,negative
Wrathful,negative
Wretched,negative
Wronged,negative